,ticketid,subject,description,status_idup,priority_idup,user_id,created_at,Category,application_name,assigned_to,Resolution_notes,Resolution_code,resolved_date,resolution_notes_ITSM,resolved_by
61,62.0,erp crash,erp crash,5,1,1,09-11-2022 05:05,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
63,64.0,reset password,I forgot my sap account password.Want to reset it.,3,1,1,01-12-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
64,65.0,visual studio code,visual studio code licence expired,3,1,2,01-12-2022 11:15,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
65,66.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,02-12-2022 11:15,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
66,67.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,03-12-2022 11:15,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
68,69.0,outlook,outlook frozen,3,1,6,05-12-2022 11:15,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
69,70.0,cant log in to vpn,cant log in to vpn,2,1,7,06-12-2022 11:15,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
78,79.0,sap crashing,sap crashing ,1,1,1,11-11-2022 19:09,Crash,SAP,,,,,,
79,80.0,sap crashing,sap crashing ,1,1,1,18-03-2022 20:30,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
80,81.0,Not able to access ERP,Not able to access ERP,1,1,1,12-11-2022 13:23,Access,ERP,,,,,,
81,82.0,Not able to access ERP,Not able to access ERP,1,1,1,19-03-2022 20:30,Access,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,17.0,16-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
82,83.0,Sap password reset,Forgot sap password need reset,1,1,1,22-11-2022 20:00,Login,SAP,,,,,,
83,84.0,Sap password reset,Forgot sap password need reset,1,1,1,20-03-2022 20:30,Login,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,18.0,17-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
84,85.0,Windows account locked,windows account locked need urgently,1,1,2,23-11-2022 16:35,Login,Windows,,,,,,
85,86.0,Windows account locked,windows account locked need urgently,1,1,2,21-03-2022 20:30,Login,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,19.0,18-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
86,87.0,sap crashing,sap crashing,1,1,2,23-11-2022 16:36,Crash,SAP,,,,,,
87,88.0,windows updated some features not working,Windows update done and now some features are not working,5,1,6,28-11-2022 16:23,Configuration,Windows,,,,07-12-2022 18:56,Windows version degraded to a lower version,aditya
88,89.0,sap crashing,sap crashing,1,1,2,23-02-2022 16:36,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
89,90.0,Laptop battery,Laptop battery draining,1,1,2,03-12-2022 17:44,Hardware,Hardware,,,,05-12-2022 13:29,give laptop,
91,92.0,Laptop battery,Laptop battery draining,1,1,2,25-02-2022 16:36,Hardware,Hardware,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,22.0,05-12-2022 13:29,give laptop,
96,97.0,reset password,I forgot my sap account password.Want to reset it.,3,1,1,28-02-2022 16:36,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,25.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
97,98.0,visual studio code,visual studio code licence expired,3,1,2,03-11-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,26.0,07-12-2022 00:55,Renew license,
98,99.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,04-11-2022 00:00,Access,Powerpoint,raghav_it,Check recycle bin.,27.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
99,100.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,05-11-2022 00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",28.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
101,102.0,outlook,outlook frozen,3,1,6,07-11-2022 00:00,Crash,Outlook,shubhangi,Restart your outlook,30.0,07-12-2022 22:25,Check the server connection.,aditya
102,103.0,cant log in to vpn,cant log in to vpn,2,1,7,08-11-2022 00:00,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
105,106.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,11-11-2022 00:00,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
106,107.0,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,12-11-2022 00:00,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,35.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
108,109.0,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,14-11-2022 00:00,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,37.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
117,118.0,Laptop battery,Laptop battery draining,1,1,2,23-11-2022 00:00,Hardware,Hardware,raghav_it,,46.0,05-12-2022 13:29,give laptop,
120,121.0,reset password,I forgot my sap account password.Want to reset it.,3,1,1,12-05-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
121,122.0,visual studio code,visual studio code licence expired,3,1,2,13-05-2022 11:15,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
122,123.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,14-05-2022 11:15,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
123,124.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,15-05-2022 11:15,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
125,126.0,outlook,outlook frozen,3,1,6,17-05-2022 11:15,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
126,127.0,cant log in to vpn,cant log in to vpn,2,1,7,16-07-2022 16:00,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
129,130.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,16-08-2022 16:15,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
130,131.0,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,17-08-2022 16:15,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
132,133.0,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,19-08-2022 16:15,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
141,142.0,Laptop battery,Laptop battery draining,1,1,2,17-07-2022 19:09,Hardware,Hardware,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,22.0,05-12-2022 13:29,give laptop,
144,145.0,reset password,I forgot my sap account password.Want to reset it.,3,1,1,20-07-2022 19:09,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,25.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
145,146.0,visual studio code,visual studio code licence expired,3,1,2,21-07-2022 19:09,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,26.0,07-12-2022 00:55,Renew license,
146,147.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,22-07-2022 19:09,Access,Powerpoint,raghav_it,Check recycle bin.,27.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
147,148.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,23-07-2022 19:09,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",28.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
149,150.0,outlook,outlook frozen,3,1,6,14-09-2022 15:00,Crash,Outlook,shubhangi,Restart your outlook,30.0,07-12-2022 22:25,Check the server connection.,aditya
150,151.0,cant log in to vpn,cant log in to vpn,2,1,7,15-09-2022 15:00,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
153,154.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,18-09-2022 15:00,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
154,155.0,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,19-09-2022 15:00,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,35.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
156,157.0,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,14-10-2022 20:30,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,37.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
165,166.0,Laptop battery,Laptop battery draining,1,1,2,03-12-2022 17:44,Hardware,Hardware,raghav_it,,46.0,05-12-2022 13:29,give laptop,
169,170.0,Laptop battery,Laptop battery draining,1,1,2,03-12-2022 17:44,Hardware,Hardware,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,22.0,05-12-2022 13:29,give laptop,
172,173.0,reset password,I forgot my sap account password.Want to reset it.,3,1,1,12-10-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,25.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
173,174.0,visual studio code,visual studio code licence expired,3,1,2,03-10-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,26.0,07-12-2022 00:55,Renew license,
174,175.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,04-10-2022 00:00,Access,Powerpoint,raghav_it,Check recycle bin.,27.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
175,176.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,14-10-2022 00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",28.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
177,178.0,outlook,outlook frozen,3,1,6,16-10-2022 00:00,Crash,Outlook,shubhangi,Restart your outlook,30.0,07-12-2022 22:25,Check the server connection.,aditya
178,179.0,cant log in to vpn,cant log in to vpn,2,1,7,17-10-2022 00:00,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
181,182.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,20-10-2022 00:00,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
182,183.0,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,21-10-2022 00:00,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,35.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
184,185.0,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,23-10-2022 00:00,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,37.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
193,194.0,Laptop battery,Laptop battery draining,1,1,2,07-11-2022 21:20,Hardware,Hardware,raghav_it,,46.0,05-12-2022 13:29,give laptop,
196,197.0,reset password,I forgot my sap account password.Want to reset it.,3,1,1,13-11-2022 11:20,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
197,198.0,visual studio code,visual studio code licence expired,3,1,2,15-11-2022 08:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
198,199.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,17-11-2022 04:40,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
199,200.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,15-01-2022 11:15,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
201,202.0,outlook,outlook frozen,3,1,6,17-01-2022 11:15,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
202,203.0,cant log in to vpn,cant log in to vpn,2,1,7,18-01-2022 11:15,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
205,206.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,21-01-2022 11:15,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
206,207.0,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,22-01-2022 11:15,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
208,209.0,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,15-03-2022 20:30,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
217,218.0,Laptop battery,Laptop battery draining,1,1,2,25-02-2022 16:36,Hardware,Hardware,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,22.0,05-12-2022 13:29,give laptop,
220,221.0,reset password,I forgot my sap account password.Want to reset it.,3,1,1,28-02-2022 16:36,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,25.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
221,222.0,visual studio code,visual studio code licence expired,3,1,2,03-06-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,26.0,07-12-2022 00:55,Renew license,
222,223.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,04-06-2022 00:00,Access,Powerpoint,raghav_it,Check recycle bin.,27.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
223,224.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,05-06-2022 00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",28.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
225,226.0,outlook,outlook frozen,3,1,6,07-06-2022 00:00,Crash,Outlook,shubhangi,Restart your outlook,30.0,07-12-2022 22:25,Check the server connection.,aditya
226,227.0,cant log in to vpn,cant log in to vpn,2,1,7,08-06-2022 00:00,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
229,230.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,11-06-2022 00:00,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
